Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Red Lemon Arctic Hunter Stylish Men Bag Fit in 15.6 inch Laptop Backpack Usb Charging Port Travel Bagpack,"2,299",4.1 out of 5 stars,95,‎B09WYVNW46,‎EnconImpexPvtLtd,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MjA5NjY2ODg5MzczNjA0OjE2OTMyMjE5MDI6c3BfYXRmX25leHQ6MjAxNTI3NDA2MDAzOTg6OjA6Og&url=%2FRed-Lemon-Stylish-Backpack-Charging%2Fdp%2FB09WYVNW46%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693221902%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.1 out of 5 stars,544,‎B0B69M182Q,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MjA5NjY2ODg5MzczNjA0OjE2OTMyMjE5MDI6c3BfYXRmX25leHQ6MjAwNjM3ODQ0NTgzOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693221902%26sprefix%3Dba%252Caps%252C283%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,3.8 out of 5 stars,"2,553",‎B07GXYHFCY,‎No,https://www.amazon.in//DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-67
Lenovo 15.6-inch Casual Laptop Briefcase T210,979,4.2 out of 5 stars,"20,924",‎B075Y6Y9H5,‎No,https://www.amazon.in//Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-68
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,649,3.7 out of 5 stars,99,‎B0C1NZLF67,‎Half_Moon,https://www.amazon.in//Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-69
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,3.4 out of 5 stars,"1,112",‎B09NNYCQ1Q,‎URBANCARRIER,https://www.amazon.in//School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-70
"Storite Nylon 46 Cm Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","1,399",4.2 out of 5 stars,385,‎B0B3JBYZ8C,"‎NISUNINC.,B-201,Greenfield4+,Vadodara,Gujarat-391410Email",https://www.amazon.in//Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-71
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",399,4.0 out of 5 stars,195,‎B0C2D2GPWJ,‎‎TabelitoTradeIndia,https://www.amazon.in//Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2GPWJ/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-72
"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",398,4.1 out of 5 stars,"9,744",B088XG77KN,‎‎TabelitoTradeIndia,https://www.amazon.in//Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-73
ADISA Women's Girls Party Sling Bag Crossbody,394,4.0 out of 5 stars,621,‎B0B2WBJ2H8,‎ADISA,https://www.amazon.in//ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1693221902&sprefix=ba%2Caps%2C283&sr=8-74
